owner_project,teamno,noofmembers,concerned_years,noofyears,proj_size,proj_language,proj_age,median_pr_merged,stanfordandgender,stanfordandgenderwithoutNAN,eth_stanandnameprism_st,eth_stanandnameprism_st_withoutNAN,knownethnicityprop,knowngenderprop,atleast75genprop,ethblau_st_cat,eth_blau_index,gender_blau_index,project_star_count,project_watchers_count,project_language,project_forks_count
arangodb_arangodb,37,3,['2018'],1,1011831,C++,2623,3,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,8940,8940,C++,599
arangodb_arangodb,51,4,"['2018', '2017']",2,1011831,C++,2623,13.5,"['female', 'male', 'male', 'male']","['female', 'male', 'male', 'male']","['Unknown', 'White', 'White', 'White']","['Unknown', 'White', 'White', 'White']",0.75,1,1,heterogeneous,0,0.375,8940,8940,C++,599
openmicroscopy_bioformats,19,4,"['2015', '2014', '2018', '2013', '2012', '2017']",6,271995,Java,2645,3,"['female', 'male', 'male', 'male']","['female', 'male', 'male', 'male']","['White', 'White', 'White', 'API']","['White', 'White', 'White', 'API']",1,1,1,heterogeneous,0.375,0.375,204,204,Java,195
rancherio_cattle,10,3,"['2016', '2017', '2018']",3,32602,Java,1744,3,"['female', 'male', 'UnKnown']","['female', 'male', 'UnKnown']","['White', 'White', 'API']","['White', 'White', 'API']",1,0.666666667,0,heterogeneous,0.444444444,0.5,549,549,Java,190
lunar-linux_moonbase-core,5,3,"['2016', '2015', '2014', '2018']",4,2934,Python,2374,2,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,13,13,Python,17
scala_scala,11,4,['2018'],1,123866,Scala,2587,8.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,12340,12340,Scala,2831
scala_scala,112,8,"['2018', '2017', '2016', '2015']",4,123866,Scala,2587,22.5,"['male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'NAN', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'Unknown', 'White', 'White', 'White', 'White']",0.875,0.875,1,heterogeneous,0,0,12340,12340,Scala,2831
scala_scala,106,8,"['2018', '2017', '2016', '2015', '2013']",5,123866,Scala,2587,23.5,"['male', 'male', 'male', 'UnKnown', 'male', 'UnKnown', 'male', 'male']","['male', 'male', 'male', 'UnKnown', 'male', 'UnKnown', 'male', 'male']","['White', 'White', 'White', 'NAN', 'White', 'NAN', 'White', 'White']","['White', 'White', 'White', 'Unknown', 'White', 'Unknown', 'White', 'White']",0.75,0.75,1,heterogeneous,0,0,12340,12340,Scala,2831
meganz_sdk,5,3,"['2017', '2016', '2018']",3,43166,C++,1867,1,"['male', 'male', 'male']","['male', 'male', 'male']","['Hispanic', 'Hispanic', 'Hispanic']","['Hispanic', 'Hispanic', 'Hispanic']",1,1,1,homogeneous,0,0,840,840,C++,322
openmicroscopy_openmicroscopy,27,8,"['2017', '2016', '2015', '2014', '2018']",5,1982999,C++,2692,19,"['male', 'male', 'UnKnown', 'male', 'male', 'UnKnown', 'male', 'male']","['male', 'male', 'UnKnown', 'male', 'male', 'UnKnown', 'male', 'male']","['White', 'White', 'Unknown', 'White', 'White', 'Unknown', 'White', 'API']","['White', 'White', 'Unknown', 'White', 'White', 'Unknown', 'White', 'API']",0.75,0.75,1,heterogeneous,0.277777778,0,134,134,C++,98
